time,open,high,low,close
1740663360,5998.25,6002.5,5997,6001.5
1740663540,6001.75,6007.75,6001.75,6006.5
1740663720,6006.5,6008,6005.5,6007.25
1740663900,6007.25,6009.5,5985.75,5989.5
1740664080,5989.5,5994.25,5982.25,5989.5
1740664260,5989.75,5991.25,5982.5,5984
1740664440,5983.75,5987.75,5977.5,5986.75
1740664620,5986.75,5989.25,5985,5986
1740664800,5986,5996,5983,5991.5
1740664980,5991.25,5993.75,5989.75,5992.25
1740665160,5992.25,5999,5990.5,5997.25
1740665340,5997.25,6001,5994.25,5996.25
1740665520,5996.25,5998.5,5995.75,5998.5
1740665700,5998.5,5999.75,5997.25,5998.25
1740665880,5998,5998.25,5994.25,5997
1740666060,5997,5998.5,5994.25,5997.5
1740666240,5997.5,5997.75,5994.25,5994.25
1740666420,5994.25,5997.75,5992.5,5995.5
1740666600,5995.5,6000,5992.75,5998.25
1740666780,5998,6004.25,5994,6003.75
1740666960,6003.75,6007.25,6000.75,6003.5
1740667140,6003.25,6004.25,5987,5987.25
1740667320,5987.25,5987.75,5977.25,5981.5
1740667500,5981.5,5991,5981.5,5986
1740667680,5985.75,5988,5976.25,5977.75
1740667860,5977.5,5980.75,5968.75,5970.5
1740668040,5970.5,5971.25,5953.75,5954.5
1740668220,5954.25,5958,5947.75,5951
1740668400,5951,5951,5931.5,5942.75
1740668580,5942.5,5951.5,5937.75,5948.5
1740668760,5948.25,5951.75,5942.25,5946.5
1740668940,5946.25,5960.75,5943.5,5956
1740669120,5956.25,5970.25,5953.75,5967
1740669300,5966.75,5972.75,5965.5,5968.25
1740669480,5968,5974.25,5965.25,5972.5
1740669660,5972.25,5991.75,5967.75,5990.5
1740669840,5990.5,5991.25,5978.25,5980.25
1740670020,5980.5,5985.25,5977.5,5981.25
1740670200,5981.25,5983.25,5970.25,5972.75
1740670380,5973,5975.75,5964,5966.25
1740670560,5966.25,5984.25,5962.5,5977
1740670740,5977,5980,5971.75,5976.25
1740670920,5976.25,5980.5,5974,5977.25
1740671100,5977,5983.25,5972.25,5980.75
1740671280,5980.75,5981.5,5973.5,5977.75
1740671460,5977.75,5979.5,5966.25,5970
1740671640,5970.25,5970.5,5963.5,5964.25
1740671820,5964.25,5968.25,5959.5,5961
1740672000,5961.25,5972.5,5959.25,5963.25
1740672180,5963.5,5966.5,5961.5,5964.25
1740672360,5964,5969.25,5963.75,5967.25
1740672540,5967.25,5976.25,5964.25,5972.5
1740672720,5972.5,5980.25,5970.5,5979.5
1740672900,5979.75,5986.25,5978.25,5984
1740673080,5983.75,5989,5983.75,5987
1740673260,5987,5987.25,5979.75,5984.75
1740673440,5984.75,5985.5,5972.75,5973.5
1740673620,5973.75,5974.5,5964.75,5968
1740673800,5967.75,5974.75,5965.75,5972
1740673980,5972,5975.5,5970,5974.5
1740674160,5974.5,5976.25,5967,5969
1740674340,5969,5971.75,5967.25,5968
1740674520,5967.75,5968.5,5962.5,5965.5
1740674700,5965.25,5968,5963.25,5965.25
1740674880,5965,5965.5,5960.25,5962.5
1740675060,5962.5,5963.75,5952.25,5956
1740675240,5955.75,5959,5951.5,5953.75
1740675420,5953.5,5954.75,5949,5950.75
1740675600,5951,5955.5,5948,5954.75
1740675780,5954.75,5956.75,5952.75,5953
1740675960,5953,5954.25,5949.5,5951.5
1740676140,5951.5,5953.25,5947.5,5952
1740676320,5952,5953.75,5949,5950
1740676500,5950,5951.75,5942.75,5946.25
1740676680,5946.5,5947.75,5940,5944.25
1740676860,5944.5,5951,5944.5,5949.75
1740677040,5949.75,5956.75,5948,5956.5
1740677220,5956.5,5966.5,5955.75,5965.75
1740677400,5966,5971.25,5963.5,5964
1740677580,5964.25,5970,5962.5,5969.75
1740677760,5969.5,5969.75,5965.75,5966.25
1740677940,5966,5967.25,5953.75,5954.5
1740678120,5954.5,5955.25,5950.25,5954.5
1740678300,5954.75,5961,5954.25,5955.75
1740678480,5956,5957.25,5950.25,5951.25
1740678660,5951.25,5962,5951.25,5959.5
1740678840,5959.25,5960.75,5957.5,5959.25
1740679020,5959.25,5961,5957,5960.75
1740679200,5960.5,5969.5,5960.25,5968.75
1740679380,5968.75,5970,5960.25,5963.75
1740679560,5963.75,5966,5959.5,5964.75
1740679740,5964.5,5967.5,5962,5967.25
1740679920,5967.25,5975.5,5966.5,5972.75
1740680100,5972.75,5975.25,5968.75,5968.75
1740680280,5969,5974.5,5968.5,5972.75
1740680460,5972.75,5977,5972.75,5976.25
1740680640,5976.5,5978.25,5973.75,5974.25
1740680820,5974.5,5975.25,5971,5972.5
1740681000,5972.75,5976,5970,5974.75
1740681180,5974.75,5975.75,5972,5974.75
1740681360,5974.75,5976,5971,5973
1740681540,5973.25,5976,5970.25,5972.75
1740681720,5973,5973.5,5967.75,5970
1740681900,5970.25,5971,5965.75,5971
1740682080,5971,5971.75,5965,5966.25
1740682260,5966,5972,5964.5,5971.5
1740682440,5971.75,5973.5,5970.25,5972
1740682620,5972,5972.75,5962.5,5963.5
1740682800,5963.5,5965,5958.75,5963.5
1740682980,5963.25,5964,5958.75,5960.5
1740683160,5960.25,5962.5,5957.5,5959.25
1740683340,5959,5960.75,5955.5,5956.5
1740683520,5956.5,5957,5950.5,5951.5
1740683700,5951.75,5952.25,5945,5947.5
1740683880,5947.5,5953.25,5947,5953.25
1740684060,5953.25,5954,5946.25,5946.75
1740684240,5946.75,5946.75,5940,5940.5
1740684420,5940.5,5941.25,5933,5934
1740684600,5934,5934.5,5920,5920.75
1740684780,5921,5926,5914,5925.5
1740684960,5925.5,5925.75,5919.25,5924.5
1740685140,5924.25,5925,5910.75,5912.25
1740685320,5912,5918.25,5909.25,5917.5
1740685500,5917.5,5923.5,5916.75,5922
1740685680,5921.75,5922,5913.5,5916.75
1740685860,5916.75,5925.5,5915.75,5916.5
1740686040,5916.5,5925,5916.25,5922.5
1740686220,5922.5,5922.5,5917.5,5918.75
1740686400,5919,5919.75,5900.75,5901
1740686580,5901,5905.5,5898.25,5903.25
1740686760,5903,5908,5901,5901.75
1740686940,5902,5904.75,5900.5,5904
1740687120,5904,5904.75,5893.5,5899.25
1740687300,5899.25,5902.25,5893.75,5895.25
1740687480,5895.25,5896.25,5891.5,5894
1740687660,5894,5906.5,5894,5902.75
1740687840,5902.75,5904.25,5897.5,5899.75
1740688020,5899.75,5902.25,5888.5,5889.25
1740688200,5889.5,5899,5889.5,5897
1740688380,5897,5901.5,5895,5898.5
1740688560,5898.75,5902.25,5895.75,5895.75
1740688740,5895.75,5897.5,5887.5,5890.75
1740688920,5890.5,5892,5886,5889
1740689100,5889,5889.25,5885,5888.5
1740689280,5888.5,5894.5,5887,5891.75
1740689460,5891.5,5896.25,5888.5,5889.25
1740689640,5889.25,5889.75,5876.75,5877.75
1740689820,5877.75,5882.25,5873,5877.5
1740690000,5877.75,5880,5873.5,5877.5
1740690180,5877.5,5879.75,5876.75,5876.75
1740690360,5877,5877.25,5875.25,5877.25
1740690540,5877,5878.75,5875.25,5875.25
1740690720,5875.5,5879.5,5875.5,5879.25
1740690900,5879.25,5882.25,5877.25,5881.75
1740691080,5881.75,5884.75,5881.25,5882.25
1740691260,5882.25,5884.5,5881.5,5884.25
1740691440,5884.5,5885,5883.5,5884.75
1740691620,5885,5885,5883.25,5883.25
1740691800,5883.25,5885,5883,5884.75
1740691980,5884.75,5887,5884.5,5886.5
1740692160,5886.5,5887.25,5884.75,5884.75
1740692340,5884.75,5886,5883.75,5885.75
1740692520,5885.75,5886.25,5885,5885.75
